subscriber_id,name,email,age,gender,location,subscription_start_date,subscription_end_date,survival_time,event_observed
1,Cheryl Morgan,kyle94@example.org,38,Male,Hallfort,2021-10-27 00:11:46.384657,2025-11-10 05:48:32.090072,1475.0,False
2,Donna Patel,spencedaniel@example.org,68,Male,Jonesburgh,2022-07-11 10:52:01.630461,2024-11-30 07:05:00.913330,872.0,True
3,Susan Wiley,karensmith@example.com,32,Male,Hardyport,2022-02-19 13:24:50.813076,2024-04-23 12:35:33.762271,793.0,False
4,Crystal Smith,mwu@example.org,23,Female,South William,2020-06-01 03:07:52.533854,2025-01-14 08:35:45.747938,1688.0,True
5,Kristen Jones,kristinahall@example.org,64,Male,Port Valerieport,2023-02-11 15:57:28.847255,2027-03-18 03:45:07.075553,1495.0,False
6,Mrs. Beverly Costa,davidewing@example.com,61,Male,Masseyfurt,2022-04-12 01:46:46.923354,2029-09-05 03:04:36.358767,2703.0,False
7,John Rogers,angelagarcia@example.com,33,Female,Anthonyfurt,2022-05-29 19:39:36.743410,2027-03-14 00:19:56.734632,1749.0,False
8,Henry Weiss,reidmegan@example.org,46,Other,North Matthew,2020-06-11 02:24:18.987000,2025-08-07 17:24:44.649700,1883.0,False
9,Wesley Holmes,melanie77@example.net,18,Male,Emilychester,2022-01-16 20:15:28.596768,2026-10-28 09:40:53.747644,1745.0,True
10,Michael Johnson,hansonkyle@example.net,68,Female,Ramseyland,2023-05-13 13:44:17.040195,2026-05-04 16:39:26.939339,1087.0,False
11,Lisa Mendez,wheelerjames@example.org,66,Female,Port Amymouth,2023-09-14 23:30:45.020718,2026-11-27 10:22:19.455209,1169.0,False
12,Jennifer Erickson,john57@example.org,59,Male,Janetmouth,2020-10-06 17:49:18.401331,2027-02-28 20:09:19.773189,2336.0,False
13,Connie Campos,danielrobertson@example.com,37,Male,Lake Gregory,2021-08-10 07:42:02.339189,2029-03-11 12:59:08.174194,2770.0,True
14,John Porter,melissa44@example.com,41,Male,Jeffreyberg,2022-12-15 14:50:18.171570,2024-05-29 06:54:32.841730,530.0,True
15,Michelle Lopez,james97@example.net,26,Male,South Denise,2022-07-08 04:03:49.277292,2027-12-06 07:24:52.314198,1977.0,False
16,Joanna Smith,amberhill@example.org,62,Male,Josephstad,2021-09-18 17:23:49.523588,2025-01-06 12:17:26.092378,1205.0,True
17,Holly Henry,tsaunders@example.com,31,Other,Fryeville,2023-09-21 08:26:36.729363,2029-09-27 00:31:29.544380,2197.0,True
18,Cody Jennings,lisadiaz@example.org,20,Female,New Aimeemouth,2023-08-17 04:33:10.608055,2025-11-01 15:35:59.792019,807.0,True
19,Kevin Brown,christophergeorge@example.com,60,Female,Port Joseph,2021-09-07 14:59:28.807386,2025-02-18 03:26:15.119512,1259.0,True
20,Anthony Rhodes,ksimmons@example.com,57,Female,Kelleyshire,2021-09-17 17:53:55.936239,2029-07-16 04:35:25.588776,2858.0,True
21,Mary Austin,lisawilliams@example.net,26,Male,South Kyliestad,2020-04-15 02:22:46.863312,2028-03-24 02:52:10.317986,2900.0,False
22,Colton Hurley,megan26@example.net,63,Female,North Victorside,2022-02-07 10:34:37.408875,2029-07-20 19:27:18.826018,2720.0,False
23,Donald Watts,fullerkelly@example.org,62,Female,Juliehaven,2023-06-18 07:49:54.802943,2024-09-24 12:14:42.970449,464.0,False
24,Elizabeth Williams,imitchell@example.com,69,Other,Christophershire,2020-05-23 14:41:37.471135,2027-11-07 15:55:21.410425,2724.0,False
25,Julie White,staylor@example.net,47,Female,South Kristin,2020-09-17 13:21:20.797384,2026-09-22 03:11:49.202035,2195.0,False
26,James Nguyen,brandy22@example.org,45,Other,East Elizabeth,2021-05-30 02:14:09.625074,2025-09-25 03:37:21.666881,1579.0,True
27,Tina Jones,kevin62@example.com,47,Male,Debraland,2020-11-13 05:49:35.842392,2028-02-19 22:11:33.987005,2654.0,True
28,Michael Cameron,kstephens@example.net,55,Other,Dominiqueland,2021-09-20 02:19:45.450615,2025-04-06 18:02:07.365320,1294.0,True
29,Jeffrey Thompson,russellcindy@example.org,69,Male,Port Juliaside,2023-02-03 05:44:52.074875,2026-08-04 10:51:59.432562,1278.0,True
30,Sabrina Sanchez,qmoore@example.com,21,Male,Maryhaven,2021-01-30 04:16:46.457427,2024-07-01 21:45:27.895670,1248.0,False
31,Christopher Gonzalez,cunninghamanthony@example.net,55,Other,New Paulport,2024-03-30 19:06:59.705626,2025-10-01 18:45:19.113889,549.0,False
32,Jennifer Shepard,smithbenjamin@example.com,68,Other,Port Joshua,2022-10-04 22:55:10.147568,2029-05-12 00:04:33.197137,2411.0,True
33,Jamie Watkins,robertspatrick@example.net,47,Female,Murillofort,2023-12-14 18:23:18.122189,2025-08-09 05:14:53.738473,603.0,True
34,Jillian Ford,tparks@example.com,63,Female,Blairstad,2021-09-27 16:19:21.825331,2025-06-02 07:21:59.940067,1343.0,False
35,David Garcia,mollysanchez@example.com,45,Female,Jonathanmouth,2020-06-02 13:59:38.943198,2027-01-24 09:54:30.814672,2426.0,True
36,Robert Rodriguez,zthomas@example.com,22,Female,Greenshire,2022-12-24 17:19:54.581602,2026-03-03 21:36:34.247637,1165.0,True
37,Katherine Garcia,brownaustin@example.net,61,Male,Lorimouth,2023-08-04 03:40:58.659001,2028-08-28 09:52:18.970177,1851.0,False
38,Melinda Leonard PhD,katelyn11@example.org,52,Male,East Kristinton,2023-10-15 09:47:02.754017,2028-09-23 00:56:42.741318,1804.0,False
